Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,OrderYear,OrderMonth
1/16/1900,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,5/14/2108,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,1/2/1900,1/3/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-150.00%,2015,November
1/17/1900,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,1/19/2047,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",10/26/1901,1/6/1900,1/0/1900,1/13/1900,2.00%,2014,November
1/18/1900,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,3/18/2130,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,2/24/1900,1/2/1900,1/0/1900,1/9/1900,18.00%,2014,May
1/19/1900,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,8/28/2157,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,1/8/1900,1/2/1900,1/0/1900,1/2/1900,29.00%,2014,August
1/20/1900,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,8/28/2157,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,7/31/1900,1/3/1900,1/0/1900,1/16/1900,7.50%,2014,August
1/21/1900,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,8/28/2157,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",1/22/1900,1/4/1900,1/0/1900,1/7/1900,32.50%,2014,August
1/22/1900,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,3/29/2086,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,1/19/1900,1/7/1900,1/0/1900,1/5/1900,26.00%,2016,December
1/23/1900,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,3/29/2086,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",2/29/1900,1/7/1900,1/0/1900,1/15/1900,26.00%,2016,December
1/24/1900,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",3/11/1900,1/2/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-1.43%,2017,July
1/25/1900,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,2/19/2130,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,11/9/1902,1/3/1900,1/0/1900,8/27/1900,23.00%,2015,September
1/26/1900,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,7/17/2146,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,1/11/1900,1/2/1900,1/0/1900,1/4/1900,36.25%,2016,January
1/27/1900,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,7/17/2146,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,3/30/1900,1/3/1900,1/0/1900,1/11/1900,13.00%,2016,January
1/28/1900,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",6/9/1908,1/7/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-54.00%,2015,September
1/29/1900,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,1/9/1900,1/2/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-73.33%,2015,September
1/30/1900,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",5/3/1900,1/3/1900,1/0/1900,1/15/1900,12.50%,2015,September
1/31/1900,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,1/3/1900,1/2/1900,1/0/1900,1/1/1900,33.75%,2015,September
2/1/1900,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",3/26/1900,1/6/1900,1/0/1900,1/9/1900,11.25%,2015,September
2/2/1900,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",1/6/1900,1/6/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-83.33%,2015,September
2/3/1900,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,5/26/1952,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,1/15/1900,1/2/1900,1/0/1900,1/3/1900,22.50%,2015,September
2/4/1900,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,1/28/2111,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,1/29/1900,1/3/1900,1/0/1900,1/9/1900,33.75%,2017,October
2/5/1900,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,7/23/2105,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1/1/1903,1/7/1900,1/0/1900,5/2/1900,11.25%,2016,December
2/6/1900,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,7/23/2105,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",7/8/1900,1/5/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-77.50%,2016,December
2/7/1900,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,12/5/2110,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",4/22/1900,1/9/1900,1/0/1900,2/4/1900,31.25%,2015,December
2/8/1900,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,12/5/2110,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",6/15/1901,1/3/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-8.82%,2015,December
2/9/1900,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,12/5/2110,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",7/30/1900,1/3/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-7.14%,2015,December
2/10/1900,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,12/5/2110,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,1/5/1901,1/4/1900,1/0/1900,2/10/1900,11.25%,2015,December
2/11/1900,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,9/30/2065,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,5/26/1900,1/4/1900,1/0/1900,1/16/1900,11.25%,2017,September
2/12/1900,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,7/17/2146,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",3/17/1900,1/2/1900,1/0/1900,1/3/1900,5.00%,2016,July
2/13/1900,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,3/3/1990,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",4/4/1900,1/2/1900,1/0/1900,1/9/1900,10.00%,2017,September
2/14/1900,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,11/30/2050,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2/14/1900,1/2/1900,1/0/1900,1/19/1900,43.00%,2016,March
2/15/1900,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,11/30/2050,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,1/17/1900,1/2/1900,1/0/1900,1/8/1900,47.00%,2016,March
2/16/1900,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,12/3/2031,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",7/29/1900,1/4/1900,1/0/1900,1/8/1900,4.00%,2014,October
2/17/1900,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,6/26/1954,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2/14/1900,1/3/1900,1/0/1900,1/4/1900,11.00%,2016,June
2/18/1900,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,6/26/1954,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",1/21/1900,1/2/1900,1/0/1900,1/6/1900,28.00%,2016,June
2/19/1900,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,2/1/2029,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",2/7/1900,1/6/1900,1/0/1900,1/17/1900,47.00%,2015,April
2/20/1900,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,2/1/2029,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,3/15/1900,1/6/1900,1/0/1900,2/4/1900,47.00%,2015,April
2/21/1900,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,2/1/2029,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,1/6/1900,1/2/1900,1/0/1900,1/2/1900,48.00%,2015,April
2/22/1900,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,2/1/2029,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",3/29/1900,1/1/1900,1/0/1900,1/17/1900,19.00%,2015,April
2/23/1900,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,6/11/1927,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,1/15/1900,1/7/1900,1/0/1900,1/6/1900,41.00%,2016,December
2/24/1900,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,6/11/1927,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,10/25/1902,1/5/1900,1/0/1900,10/24/1900,29.00%,2016,December
2/25/1900,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,5/6/1933,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,7/26/1900,1/6/1900,1/0/1900,2/21/1900,25.00%,2016,June
2/26/1900,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,5/6/1933,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,2/1/1900,1/5/1900,1/0/1900,1/15/1900,48.00%,2016,June
2/27/1900,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,5/6/1933,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,11/14/1900,1/5/1900,1/0/1900,1/7/1900,2.22%,2016,June
2/28/1900,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,5/6/1933,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",1/14/1900,1/2/1900,1/0/1900,1/6/1900,48.00%,2016,June
2/29/1900,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,5/6/1933,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,1/30/1900,1/2/1900,1/0/1900,1/3/1900,11.00%,2016,June
3/1/1900,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,5/6/1933,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,2/17/1900,1/4/1900,1/0/1900,1/16/1900,33.75%,2016,June
3/2/1900,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,5/6/1933,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1/1/1900,1/1/1900,1/0/1900,1/0/1900,50.00%,2016,June
3/3/1900,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,6/2/2146,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",1/13/1900,1/2/1900,1/0/1900,1/6/1900,44.00%,2015,November
3/4/1900,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,6/2/2146,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",1/25/1900,1/6/1900,1/0/1900,1/9/1900,36.25%,2015,November
3/5/1900,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,6/2/2146,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,5/25/1900,1/3/1900,1/0/1900,3/8/1900,47.00%,2015,November
3/6/1900,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,6/2/2146,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,3/19/1900,1/4/1900,1/0/1900,1/22/1900,28.00%,2015,November
3/7/1900,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,12/9/2065,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",7/31/1900,1/5/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-7.14%,2015,April
3/8/1900,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,5/11/2133,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1/17/1903,1/8/1900,1/0/1900,4/20/1900,10.00%,2014,December
3/9/1900,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,5/11/2133,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,6/15/1900,1/4/1900,1/0/1900,3/2/1900,37.50%,2014,December
3/10/1900,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,8/25/1960,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",3/15/1900,1/2/1900,1/0/1900,2/4/1900,47.00%,2016,June
3/11/1900,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,5/27/1927,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,1/4/1900,1/1/1900,1/0/1900,1/1/1900,37.50%,2016,September
3/12/1900,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,9/14/2034,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",1/19/1900,1/3/1900,1/0/1900,1/8/1900,46.00%,2017,September
3/13/1900,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,5/2/2004,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,4/10/1902,1/8/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-13.75%,2015,April
3/14/1900,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,5/2/2004,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",4/6/1900,1/2/1900,1/0/1900,1/1/1900,1.25%,2015,April
3/15/1900,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,5/2/2004,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,3/12/1900,1/1/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-25.00%,2015,April
3/16/1900,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,12/5/2110,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1/1/1900,1/3/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-155.00%,2017,December
3/17/1900,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,12/5/2110,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",1/9/1900,1/3/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-60.00%,2017,December
3/18/1900,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,12/5/2110,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",1/27/1900,1/3/1900,1/0/1900,1/2/1900,10.00%,2017,December
3/19/1900,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,1/3/2111,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",1/19/1900,1/5/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-75.00%,2014,November
3/20/1900,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,6/20/1997,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",7/26/1900,1/1/1900,1/0/1900,2/25/1900,27.00%,2016,June
3/21/1900,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,6/20/1997,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,1/16/1900,1/3/1900,1/0/1900,1/8/1900,48.00%,2016,June
3/22/1900,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,9/10/2157,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",1/14/1900,1/5/1900,1/0/1900,1/4/1900,28.00%,2014,October
3/23/1900,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,9/10/2157,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",1/21/1900,1/1/1900,1/0/1900,1/6/1900,29.00%,2014,October
3/24/1900,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,11/9/1975,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,7/18/1900,1/7/1900,1/0/1900,3/2/1900,31.25%,2015,September
